EID_100001, Marchand, Dylan, (024) 777 739 815, dylan.marchand@heig-vd.ch, MALE, TIN, Assistant
EID_100038, Clément, Julie, (024) 777 873 213, julie.clément@heig-vd.ch, FEMALE, HEG, Administratif
EID_100039, Durant, Aurore, (024) 777 207 802, aurore.durant@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100040, Clément, Christine, (024) 777 152 459, christine.clément@heig-vd.ch, FEMALE, EC, Etudiant
EID_100041, Bauer, Julien, (024) 777 476 813, julien.bauer@heig-vd.ch, MALE, EC, Administratif
EID_100042, Marchand, Aurore, (024) 777 574 401, aurore.marchand@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100043, De Villiers, Irène, (024) 777 577 363, irène.de villiers@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100044, Smith, Frédéric, (024) 777 311 819, frédéric.smith@heig-vd.ch, MALE, HEG, Professeur
EID_100045, Dupont, Fabrice, (024) 777 634 140, fabrice.dupont@heig-vd.ch, MALE, COMEM, Professeur
EID_100046, De Villiers, Fabienne, (024) 777 627 501, fabienne.de villiers@heig-vd.ch, FEMALE, HEG, Professeur
EID_100047, Durant, Julie, (024) 777 553 353, julie.durant@heig-vd.ch, FEMALE, HEG, Administratif
EID_100048, Dupond, Lucien, (024) 777 687 611, lucien.dupond@heig-vd.ch, MALE, DEPG, Etudiant
EID_100049, Simpson, Lucien, (024) 777 477 237, lucien.simpson@heig-vd.ch, MALE, TIC, Etudiant
EID_100050, Clément, Christine, (024) 777 150 862, christine.clément@heig-vd.ch, FEMALE, TIC, Administratif
EID_100051, Smith, Charles, (024) 777 855 831, charles.smith@heig-vd.ch, MALE, HEG, Professeur
EID_100052, De Villiers, Carine, (024) 777 246 468, carine.de villiers@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100053, Simpson, Aurore, (024) 777 215 262, aurore.simpson@heig-vd.ch, FEMALE, EC, Administratif
EID_100054, Durant, Christine, (024) 777 819 440, christine.durant@heig-vd.ch, FEMALE, HEG, Administratif
EID_100055, Dupont, Bernadette, (024) 777 363 227, bernadette.dupont@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100056, Bauer, Danièle, (024) 777 204 304, danièle.bauer@heig-vd.ch, FEMALE, EC, Assistant
EID_100057, Smith, Guillaume, (024) 777 344 631, guillaume.smith@heig-vd.ch, MALE, DEPG, Assistant
EID_100058, De Villiers, Christine, (024) 777 317 793, christine.de villiers@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100059, Durant, Guillaume, (024) 777 257 583, guillaume.durant@heig-vd.ch, MALE, TIC, Professeur
EID_100060, Delon, Julie, (024) 777 119 821, julie.delon@heig-vd.ch, FEMALE, TIN, Administratif
EID_100061, De Villiers, Danièle, (024) 777 752 698, danièle.de villiers@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100062, Dupont, Henriette, (024) 777 516 819, henriette.dupont@heig-vd.ch, FEMALE, HEG, Professeur
EID_100063, Dupond, Dylan, (024) 777 522 211, dylan.dupond@heig-vd.ch, MALE, TIN, Assistant
EID_100064, Dupond, Aurore, (024) 777 824 709, aurore.dupond@heig-vd.ch, FEMALE, HEG, Assistant
EID_100065, Clément, Frédéric, (024) 777 485 340, frédéric.clément@heig-vd.ch, MALE, EC, Assistant
EID_100066, Belmondo, Guillaume, (024) 777 448 221, guillaume.belmondo@heig-vd.ch, MALE, TIC, Professeur
EID_100067, De Villiers, Carine, (024) 777 247 121, carine.de villiers@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100068, Belmondo, Bernadette, (024) 777 647 690, bernadette.belmondo@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100069, Belmondo, Guillaume, (024) 777 887 660, guillaume.belmondo@heig-vd.ch, MALE, TIC, Etudiant
EID_100070, Marchand, Danièle, (024) 777 770 839, danièle.marchand@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100071, Delon, Fabrice, (024) 777 187 491, fabrice.delon@heig-vd.ch, MALE, HEG, Assistant
EID_100072, Bauer, Cédric, (024) 777 568 734, cédric.bauer@heig-vd.ch, MALE, EC, Professeur
EID_100073, Dupont, Julie, (024) 777 495 608, julie.dupont@heig-vd.ch, FEMALE, TIN, Administratif
EID_100074, Delon, Bernadette, (024) 777 252 651, bernadette.delon@heig-vd.ch, FEMALE, TIC, Assistant
EID_100075, Marchand, Georgette, (024) 777 121 124, georgette.marchand@heig-vd.ch, FEMALE, TIC, Professeur
EID_100076, Belmondo, Julien, (024) 777 620 441, julien.belmondo@heig-vd.ch, MALE, TIN, Professeur
EID_100077, Durant, Henriette, (024) 777 709 688, henriette.durant@heig-vd.ch, FEMALE, HEG, Assistant
EID_100078, Smith, Henriette, (024) 777 604 382, henriette.smith@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100079, Clément, Gontran, (024) 777 541 864, gontran.clément@heig-vd.ch, MALE, TIC, Etudiant
EID_100080, De Villiers, Carole, (024) 777 576 843, carole.de villiers@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100081, De Decker, Lucien, (024) 777 846 868, lucien.de decker@heig-vd.ch, MALE, TIC, Professeur
EID_100082, De Decker, Emil, (024) 777 169 671, emil.de decker@heig-vd.ch, MALE, COMEM, Professeur
EID_100083, Jones, Marc, (024) 777 621 407, marc.jones@heig-vd.ch, MALE, DEPG, Assistant
EID_100084, Dupont, Emil, (024) 777 584 357, emil.dupont@heig-vd.ch, MALE, HEG, Etudiant
EID_100085, Marchand, Didier, (024) 777 183 499, didier.marchand@heig-vd.ch, MALE, DEPG, Assistant
EID_100086, Marchand, Marc, (024) 777 716 400, marc.marchand@heig-vd.ch, MALE, DEPG, Administratif
EID_100087, Dupond, Henri, (024) 777 167 310, henri.dupond@heig-vd.ch, MALE, EC, Administratif
EID_100088, Dupond, Aurore, (024) 777 891 610, aurore.dupond@heig-vd.ch, FEMALE, EC, Administratif
EID_100089, Marchand, Gontran, (024) 777 560 757, gontran.marchand@heig-vd.ch, MALE, TIC, Assistant
EID_100090, De Villiers, Julie, (024) 777 537 399, julie.de villiers@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100091, Dupont, Georgette, (024) 777 804 597, georgette.dupont@heig-vd.ch, FEMALE, HEG, Administratif
EID_100092, Belmondo, Luc, (024) 777 777 661, luc.belmondo@heig-vd.ch, MALE, HEG, Professeur
EID_100093, Dupond, Dorothé, (024) 777 813 380, dorothé.dupond@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100094, Dupont, Dorothé, (024) 777 305 107, dorothé.dupont@heig-vd.ch, FEMALE, TIC, Administratif
EID_100095, Dupond, Henriette, (024) 777 172 505, henriette.dupond@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100096, De Villiers, Anne, (024) 777 234 724, anne.de villiers@heig-vd.ch, FEMALE, TIC, Assistant
EID_100097, Durant, Bryan, (024) 777 248 108, bryan.durant@heig-vd.ch, MALE, TIN, Professeur
EID_100098, Clément, Henri, (024) 777 272 741, henri.clément@heig-vd.ch, MALE, EC, Professeur
EID_100099, Marchand, Fabien, (024) 777 796 635, fabien.marchand@heig-vd.ch, MALE, DEPG, Etudiant
EID_100100, De Decker, Evelyne, (024) 777 862 425, evelyne.de decker@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100101, Bauer, Christine, (024) 777 834 645, christine.bauer@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100102, Durant, Marc, (024) 777 608 246, marc.durant@heig-vd.ch, MALE, HEG, Administratif
EID_100103, Smith, Fabien, (024) 777 573 281, fabien.smith@heig-vd.ch, MALE, TIC, Professeur
EID_100104, Simpson, Fabrice, (024) 777 227 357, fabrice.simpson@heig-vd.ch, MALE, EC, Professeur
EID_100105, Dupont, Bernadette, (024) 777 857 365, bernadette.dupont@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100106, Smith, Didier, (024) 777 717 423, didier.smith@heig-vd.ch, MALE, TIC, Assistant
EID_100107, Bauer, Guillaume, (024) 777 846 188, guillaume.bauer@heig-vd.ch, MALE, COMEM, Etudiant
EID_100108, Clément, Jimmy, (024) 777 399 784, jimmy.clément@heig-vd.ch, MALE, EC, Administratif
EID_100109, Clément, Emilie, (024) 777 785 321, emilie.clément@heig-vd.ch, FEMALE, TIC, Administratif
EID_100110, Marchand, Julie, (024) 777 159 286, julie.marchand@heig-vd.ch, FEMALE, EC, Assistant
EID_100111, Dupont, Dylan, (024) 777 876 221, dylan.dupont@heig-vd.ch, MALE, TIC, Etudiant
EID_100112, Delon, Didier, (024) 777 310 225, didier.delon@heig-vd.ch, MALE, TIC, Assistant
EID_100113, Clément, Frédéric, (024) 777 744 678, frédéric.clément@heig-vd.ch, MALE, DEPG, Assistant
EID_100114, Dupond, Luc, (024) 777 599 385, luc.dupond@heig-vd.ch, MALE, COMEM, Assistant
EID_100115, Smith, Julien, (024) 777 103 285, julien.smith@heig-vd.ch, MALE, HEG, Professeur
EID_100116, Belmondo, Dorothé, (024) 777 815 477, dorothé.belmondo@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100117, Clément, Henri, (024) 777 546 403, henri.clément@heig-vd.ch, MALE, TIC, Assistant
EID_100118, Smith, Luc, (024) 777 543 848, luc.smith@heig-vd.ch, MALE, EC, Assistant
EID_100119, Simpson, Bryan, (024) 777 361 802, bryan.simpson@heig-vd.ch, MALE, COMEM, Assistant
EID_100120, Jones, Cédric, (024) 777 194 270, cédric.jones@heig-vd.ch, MALE, TIN, Assistant
EID_100121, Delon, Faustine, (024) 777 197 504, faustine.delon@heig-vd.ch, FEMALE, EC, Administratif
EID_100122, Smith, Charles, (024) 777 145 498, charles.smith@heig-vd.ch, MALE, DEPG, Administratif
EID_100123, Dupond, Luc, (024) 777 349 258, luc.dupond@heig-vd.ch, MALE, EC, Assistant
EID_100124, De Villiers, Edgar, (024) 777 213 739, edgar.de villiers@heig-vd.ch, MALE, EC, Professeur
EID_100125, Smith, Christine, (024) 777 312 423, christine.smith@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100126, Simpson, Emilie, (024) 777 871 408, emilie.simpson@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100127, Simpson, Danièle, (024) 777 204 860, danièle.simpson@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100128, De Villiers, Fabrice, (024) 777 509 265, fabrice.de villiers@heig-vd.ch, MALE, HEG, Assistant
EID_100129, Belmondo, Christine, (024) 777 420 778, christine.belmondo@heig-vd.ch, FEMALE, EC, Administratif
EID_100130, Durant, Henriette, (024) 777 699 175, henriette.durant@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100131, Clément, Dylan, (024) 777 883 886, dylan.clément@heig-vd.ch, MALE, COMEM, Professeur
EID_100132, Simpson, Didier, (024) 777 558 767, didier.simpson@heig-vd.ch, MALE, COMEM, Professeur
EID_100133, Dupont, Christine, (024) 777 565 487, christine.dupont@heig-vd.ch, FEMALE, TIC, Assistant
EID_100134, Dupond, Luc, (024) 777 149 363, luc.dupond@heig-vd.ch, MALE, COMEM, Assistant
EID_100135, Clément, Christine, (024) 777 151 196, christine.clément@heig-vd.ch, FEMALE, EC, Etudiant
EID_100136, Dupond, Gilles, (024) 777 479 690, gilles.dupond@heig-vd.ch, MALE, COMEM, Assistant
EID_100137, Dupond, Cédric, (024) 777 122 702, cédric.dupond@heig-vd.ch, MALE, COMEM, Administratif
EID_100138, Delon, Danièle, (024) 777 703 253, danièle.delon@heig-vd.ch, FEMALE, HEG, Assistant
EID_100139, Bauer, Emilie, (024) 777 616 858, emilie.bauer@heig-vd.ch, FEMALE, TIN, Professeur
EID_100140, De Villiers, Dorothé, (024) 777 606 370, dorothé.de villiers@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100141, Delon, Edgar, (024) 777 330 315, edgar.delon@heig-vd.ch, MALE, COMEM, Professeur
EID_100142, Jones, Dylan, (024) 777 548 721, dylan.jones@heig-vd.ch, MALE, TIN, Etudiant
EID_100143, Smith, Christine, (024) 777 267 705, christine.smith@heig-vd.ch, FEMALE, TIN, Professeur
EID_100144, De Decker, Fabrice, (024) 777 475 577, fabrice.de decker@heig-vd.ch, MALE, DEPG, Administratif
EID_100145, Bauer, Carine, (024) 777 297 179, carine.bauer@heig-vd.ch, FEMALE, HEG, Assistant
EID_100146, Marchand, Julien, (024) 777 356 522, julien.marchand@heig-vd.ch, MALE, HEG, Administratif
EID_100147, Marchand, Fabien, (024) 777 361 223, fabien.marchand@heig-vd.ch, MALE, EC, Administratif
EID_100148, De Decker, Fabien, (024) 777 102 247, fabien.de decker@heig-vd.ch, MALE, TIN, Administratif
EID_100149, De Decker, Amélie, (024) 777 373 645, amélie.de decker@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100150, De Decker, Dorothé, (024) 777 777 103, dorothé.de decker@heig-vd.ch, FEMALE, TIC, Assistant
EID_100151, Clément, Julien, (024) 777 887 633, julien.clément@heig-vd.ch, MALE, TIN, Administratif
EID_100152, Clément, Carole, (024) 777 705 461, carole.clément@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100153, De Decker, Frédéric, (024) 777 769 568, frédéric.de decker@heig-vd.ch, MALE, TIN, Administratif
EID_100154, Delon, Fabienne, (024) 777 239 255, fabienne.delon@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100155, Simpson, Carine, (024) 777 166 744, carine.simpson@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100156, Marchand, Guillaume, (024) 777 209 894, guillaume.marchand@heig-vd.ch, MALE, DEPG, Assistant
EID_100157, Dupond, Julie, (024) 777 629 538, julie.dupond@heig-vd.ch, FEMALE, EC, Administratif
EID_100158, Dupont, Emil, (024) 777 140 308, emil.dupont@heig-vd.ch, MALE, TIN, Professeur
EID_100159, Durant, Aurore, (024) 777 481 753, aurore.durant@heig-vd.ch, FEMALE, TIC, Administratif
EID_100160, Belmondo, Emil, (024) 777 270 356, emil.belmondo@heig-vd.ch, MALE, HEG, Professeur
EID_100161, Dupont, Fabienne, (024) 777 259 577, fabienne.dupont@heig-vd.ch, FEMALE, TIC, Administratif
EID_100162, Dupond, Emilie, (024) 777 215 533, emilie.dupond@heig-vd.ch, FEMALE, TIC, Assistant
EID_100163, Simpson, Bryan, (024) 777 302 454, bryan.simpson@heig-vd.ch, MALE, EC, Assistant
EID_100164, Bauer, Jimmy, (024) 777 514 570, jimmy.bauer@heig-vd.ch, MALE, COMEM, Assistant
EID_100165, Belmondo, Lucien, (024) 777 511 331, lucien.belmondo@heig-vd.ch, MALE, COMEM, Administratif
EID_100166, Simpson, Bernadette, (024) 777 493 732, bernadette.simpson@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100167, Simpson, Didier, (024) 777 170 663, didier.simpson@heig-vd.ch, MALE, TIC, Etudiant
EID_100168, Belmondo, Bernadette, (024) 777 244 466, bernadette.belmondo@heig-vd.ch, FEMALE, EC, Etudiant
EID_100169, Smith, Bryan, (024) 777 764 368, bryan.smith@heig-vd.ch, MALE, TIC, Professeur
EID_100170, Smith, Faustine, (024) 777 288 125, faustine.smith@heig-vd.ch, FEMALE, HEG, Professeur
EID_100171, Simpson, Evelyne, (024) 777 326 691, evelyne.simpson@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100172, Belmondo, Georgette, (024) 777 340 148, georgette.belmondo@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100173, Bauer, Danièle, (024) 777 594 195, danièle.bauer@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100174, Dupont, Gilles, (024) 777 683 101, gilles.dupont@heig-vd.ch, MALE, HEG, Assistant
EID_100175, Dupont, Edgar, (024) 777 595 396, edgar.dupont@heig-vd.ch, MALE, EC, Administratif
EID_100176, Bauer, Bryan, (024) 777 222 580, bryan.bauer@heig-vd.ch, MALE, EC, Assistant
EID_100177, Bauer, Edgar, (024) 777 409 695, edgar.bauer@heig-vd.ch, MALE, COMEM, Assistant
EID_100178, Bauer, Lucien, (024) 777 520 889, lucien.bauer@heig-vd.ch, MALE, COMEM, Professeur
EID_100179, Durant, Christine, (024) 777 444 133, christine.durant@heig-vd.ch, FEMALE, TIN, Administratif
EID_100180, Bauer, Amélie, (024) 777 341 467, amélie.bauer@heig-vd.ch, FEMALE, EC, Etudiant
EID_100181, Smith, Carine, (024) 777 330 432, carine.smith@heig-vd.ch, FEMALE, EC, Assistant
EID_100182, Dupont, Irène, (024) 777 674 792, irène.dupont@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100183, Bauer, Faustine, (024) 777 277 346, faustine.bauer@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100184, Durant, Gontran, (024) 777 383 636, gontran.durant@heig-vd.ch, MALE, TIC, Administratif
EID_100185, De Villiers, Frédéric, (024) 777 742 150, frédéric.de villiers@heig-vd.ch, MALE, EC, Assistant
EID_100186, Dupont, Irène, (024) 777 514 485, irène.dupont@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100187, Delon, Gontran, (024) 777 800 114, gontran.delon@heig-vd.ch, MALE, EC, Etudiant
EID_100188, Durant, Faustine, (024) 777 497 406, faustine.durant@heig-vd.ch, FEMALE, HEG, Professeur
EID_100189, Jones, Aurore, (024) 777 270 262, aurore.jones@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100190, Dupond, Christine, (024) 777 750 819, christine.dupond@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100191, Smith, Christine, (024) 777 789 703, christine.smith@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100192, Marchand, Jimmy, (024) 777 517 413, jimmy.marchand@heig-vd.ch, MALE, COMEM, Etudiant
EID_100193, De Decker, Frédéric, (024) 777 256 137, frédéric.de decker@heig-vd.ch, MALE, HEG, Assistant
EID_100194, Jones, Didier, (024) 777 744 752, didier.jones@heig-vd.ch, MALE, TIC, Professeur
EID_100195, Dupont, Gilles, (024) 777 104 125, gilles.dupont@heig-vd.ch, MALE, HEG, Assistant
EID_100196, Smith, Albert, (024) 777 476 108, albert.smith@heig-vd.ch, MALE, DEPG, Assistant
EID_100197, Delon, Marc, (024) 777 672 855, marc.delon@heig-vd.ch, MALE, COMEM, Administratif
EID_100198, Dupond, Bernadette, (024) 777 606 352, bernadette.dupond@heig-vd.ch, FEMALE, TIN, Administratif
EID_100199, De Decker, Georgette, (024) 777 248 189, georgette.de decker@heig-vd.ch, FEMALE, EC, Professeur
EID_100200, Durant, Albert, (024) 777 452 443, albert.durant@heig-vd.ch, MALE, TIC, Administratif
EID_100201, De Villiers, Marc, (024) 777 495 234, marc.de villiers@heig-vd.ch, MALE, HEG, Administratif
EID_100202, Smith, Amélie, (024) 777 243 330, amélie.smith@heig-vd.ch, FEMALE, TIC, Professeur
EID_100203, Jones, Christine, (024) 777 824 194, christine.jones@heig-vd.ch, FEMALE, TIN, Assistant
EID_100204, Marchand, Faustine, (024) 777 504 375, faustine.marchand@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100205, De Villiers, Bernadette, (024) 777 554 141, bernadette.de villiers@heig-vd.ch, FEMALE, TIC, Assistant
EID_100206, Smith, Carine, (024) 777 100 235, carine.smith@heig-vd.ch, FEMALE, TIN, Administratif
EID_100207, Marchand, Julien, (024) 777 863 506, julien.marchand@heig-vd.ch, MALE, DEPG, Etudiant
EID_100208, Jones, Anne, (024) 777 150 885, anne.jones@heig-vd.ch, FEMALE, TIC, Administratif
EID_100209, Belmondo, Georgette, (024) 777 126 399, georgette.belmondo@heig-vd.ch, FEMALE, TIC, Assistant
EID_100210, Smith, Julie, (024) 777 533 304, julie.smith@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100211, Smith, Julie, (024) 777 372 638, julie.smith@heig-vd.ch, FEMALE, EC, Administratif
EID_100212, De Villiers, Amélie, (024) 777 284 642, amélie.de villiers@heig-vd.ch, FEMALE, EC, Assistant
EID_100213, Smith, Emma, (024) 777 676 758, emma.smith@heig-vd.ch, FEMALE, TIN, Professeur
EID_100214, De Decker, Albert, (024) 777 490 593, albert.de decker@heig-vd.ch, MALE, TIC, Professeur
EID_100215, Smith, Brigitte, (024) 777 459 679, brigitte.smith@heig-vd.ch, FEMALE, TIC, Administratif
EID_100216, Simpson, Frédéric, (024) 777 291 870, frédéric.simpson@heig-vd.ch, MALE, HEG, Etudiant
EID_100217, Dupond, Fabrice, (024) 777 549 241, fabrice.dupond@heig-vd.ch, MALE, TIC, Etudiant
EID_100218, Marchand, Didier, (024) 777 307 627, didier.marchand@heig-vd.ch, MALE, COMEM, Professeur
EID_100219, Bauer, Brigitte, (024) 777 690 300, brigitte.bauer@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100220, Delon, Jimmy, (024) 777 116 576, jimmy.delon@heig-vd.ch, MALE, TIN, Etudiant
EID_100221, Durant, Jimmy, (024) 777 517 674, jimmy.durant@heig-vd.ch, MALE, COMEM, Etudiant
EID_100222, Belmondo, Faustine, (024) 777 331 572, faustine.belmondo@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100223, Delon, Fabienne, (024) 777 490 893, fabienne.delon@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100224, Simpson, Georgette, (024) 777 422 249, georgette.simpson@heig-vd.ch, FEMALE, HEG, Administratif
EID_100225, De Decker, Bernard, (024) 777 406 231, bernard.de decker@heig-vd.ch, MALE, COMEM, Etudiant
EID_100226, Delon, Fabien, (024) 777 746 511, fabien.delon@heig-vd.ch, MALE, TIN, Etudiant
EID_100227, Simpson, Fabienne, (024) 777 874 144, fabienne.simpson@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100228, Smith, Luc, (024) 777 574 105, luc.smith@heig-vd.ch, MALE, TIC, Assistant
EID_100229, Delon, Guillaume, (024) 777 315 239, guillaume.delon@heig-vd.ch, MALE, DEPG, Assistant
EID_100230, Smith, Albert, (024) 777 442 516, albert.smith@heig-vd.ch, MALE, TIC, Professeur
EID_100231, De Villiers, Bernadette, (024) 777 873 432, bernadette.de villiers@heig-vd.ch, FEMALE, EC, Etudiant
EID_100232, Smith, Anne, (024) 777 683 256, anne.smith@heig-vd.ch, FEMALE, TIC, Administratif
EID_100233, Bauer, Faustine, (024) 777 574 282, faustine.bauer@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100234, Dupond, Fabien, (024) 777 784 144, fabien.dupond@heig-vd.ch, MALE, EC, Assistant
EID_100235, Dupont, Bernadette, (024) 777 850 125, bernadette.dupont@heig-vd.ch, FEMALE, TIC, Assistant
EID_100236, Dupond, Edgar, (024) 777 466 895, edgar.dupond@heig-vd.ch, MALE, EC, Etudiant
EID_100237, Durant, Christine, (024) 777 254 406, christine.durant@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100238, Dupont, Georgette, (024) 777 537 825, georgette.dupont@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100239, Delon, Bernadette, (024) 777 157 898, bernadette.delon@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100240, De Decker, Evelyne, (024) 777 597 618, evelyne.de decker@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100241, Smith, Fabienne, (024) 777 609 150, fabienne.smith@heig-vd.ch, FEMALE, TIN, Administratif
EID_100242, Dupont, Luc, (024) 777 200 514, luc.dupont@heig-vd.ch, MALE, TIN, Administratif
EID_100243, Dupont, Henriette, (024) 777 319 617, henriette.dupont@heig-vd.ch, FEMALE, TIN, Administratif
EID_100244, Smith, Dorothé, (024) 777 239 518, dorothé.smith@heig-vd.ch, FEMALE, HEG, Administratif
EID_100245, Smith, Aurore, (024) 777 256 675, aurore.smith@heig-vd.ch, FEMALE, DEPG, Professeur
